ktax.id	tax.id	kegg.code	scientific.name	common.name	entrez.gnodes	kegg.geneid	ncbi.geneid	ncbi.proteinid	uniprot
T05070	1898474	macr	Macrococcus sp. IME1552		0	BHM04_04440	NA	ATD30467	NA
T07164	1903056	mboe	Macrococcus bohemicus		0	HT586_10155	NA	QRN50532	NA
T07974	2875764	mary	Macrococcus armenti		0	LAU42_05110	NA	UBH23321	NA
T08179	198483	mbru	Macrococcus brunensis		0	MGG13_02805	NA	ULG74713	NA
T03940	407035	shv	Salinicoccus halodurans		0	AAT16_11190	NA	AKG74708	A0A0F7HL94
T04690	1817405	sbac	Abyssicoccus albus		0	BVH56_04355	NA	AQL56200	NA
T06966	946435	jea	Jeotgalicoccus sp. ATCC 8456		0	JEM45_06310	NA	QQD84263	A0A7T5BSY4
T07372	489910	namp	Nosocomiicoccus ampullae		0	KPF49_07905	NA	QYA47692	A0A8F8MCY7
T00066	1639	lmo	Listeria monocytogenes EGD-e (serotype 1/2a)		0	lmo2657	985613	NP_466179	Q8Y420
T01157	1639	lmn	Listeria monocytogenes 08-5578 (serotype 1/2a)		0	LM5578_1969	NA	ADB68716	NA
T01164	1639	lmy	Listeria monocytogenes 08-5923 (serotype 1/2a)		0	LM5923_2619	NA	ADB72460	NA
T01984	1639	lmt	Listeria monocytogenes 10403S (serotype 1/2a)		0	LMRG_01112	NA	AEO06947	A0A0H3GHL5
T02223	1639	lmoc	Listeria monocytogenes SLCC5850 (serotype 1/2a)		0	LMOSLCC5850_0039	NA	CBY50508	NA
T02512	1639	lmoe	Listeria monocytogenes La111 (serotype 1/2a)		0	BN418_0136	NA	CCQ19430	A0A477S5F2
T02513	1639	lmob	Listeria monocytogenes N53-1 (serotype 1/2a)		0	BN419_1174	NA	CCQ23511	NA
T02872	1639	lmod	Listeria monocytogenes EGD (serotype 1/2a)		0	LMON_0129	NA	CDG43999	A0A3Q0NAT8
T03114	1639	lmow	Listeria monocytogenes WSLC1001 (serotype 1/2a)		0	AX10_01695	NA	AHJ03234	NA
T03159	1639	lmoq	Listeria monocytogenes 6179 (serotype 1/2a)		0	LM6179_1547	NA	CDM19810	NA
T03180	1639	lmr	Listeria monocytogenes R479a (serotype 1/2a)		0	LMR479A_2896	NA	CDM18108	NA
T03479	1639	lmom	Listeria monocytogenes Lm60 (serotype 1/2a)		0	IJ09_00985	NA	AIL66390	A0A1C7PTF3
T00174	1639	lmf	Listeria monocytogenes F2365 (serotype 4b)		0	LMOf2365_1799	NA	AAT04570	Q71YQ1
T00898	1639	lmc	Listeria monocytogenes CLIP 80459 (serotype 4b)		0	Lm4b_00134	NA	CAS03925	C1KWQ5
T02416	1639	lmog	Listeria monocytogenes serotype 4b LL195		0	BN389_05470	NA	CCO63121	A0A0E1RA48
T02040	1639	lmp	Listeria monocytogenes 07PF0776 (serotype 4b)		0	MUO_13295	NA	AFH81175	NA
T02247	1639	lmol	Listeria monocytogenes L312 (serotype 4b)		0	LMOL312_0135	NA	CBY66213	NA
T02776	1639	lmoj	Listeria monocytogenes J1816 (serotype 4b)		0	LM220_22250	NA	AGR33089	NA
T02801	1639	lmoz	Listeria monocytogenes J1-220 (serotype 4b)		0	LM1816_06530	NA	EGF36789	NA
T03151	1639	lmox	Listeria monocytogenes WSLC1042 (serotype 4b)		0	AX24_07045	NA	AHJ35925	NA
T00801	1639	lmh	Listeria monocytogenes HCC23 (serotype 4a)		0	LMHCC_0794	NA	ACK39146	B8DDY7
T01988	1639	lmq	Listeria monocytogenes M7 (serotype 4a)		0	LMM7_1853	NA	AEH92858	A0A0E0UXM8
T01989	1639	lml	Listeria monocytogenes L99 (serotype 4a)		0	lmo4a_2215	NA	CAR84919	NA
T01985	1639	lmg	Listeria monocytogenes FSL R2-561		0	LMKG_01389	NA	AEO24807	NA
T01986	1639	lms	Listeria monocytogenes Finland 1998		0	LMLG_1468	NA	AEO39298	NA
T01987	1639	lmj	Listeria monocytogenes J0161		0	LMOG_02757	NA	AEO03851	NA
T02219	1639	lmw	Listeria monocytogenes SLCC2755 (serotype 1/2b)		0	LMOSLCC2755_2014	NA	CBY49606	NA
T02220	1639	lmx	Listeria monocytogenes SLCC2372 (serotype 1/2c)		0	LMOSLCC2372_2019	NA	CBY55354	NA
T02221	1639	lmz	Listeria monocytogenes serotype 7 SLCC2482		0	LMOSLCC2482_1825	NA	CBY04346	NA
T02222	1639	lmon	Listeria monocytogenes SLCC2376 (serotype 4c)		0	LMOSLCC2376_0283	NA	CBY62315	NA
T02224	1639	lmos	Listeria monocytogenes SLCC7179 (serotype 3a)		0	LMOSLCC7179_0193	NA	CBY59399	NA
T02240	1639	lmoo	Listeria monocytogenes SLCC2378 (serotype 4e)		0	LMOSLCC2378_0984	NA	CBY72751	NA
